"Position","Player_Count","Total_Appearances","Total_Goals","Avg_Goals_Per_Match","Total_Assists","Avg_Age","Total_Clean_Sheets","Total_Tackles","Total_Interceptions"
"Defender",194,13047,516,4.17,646,25.56,3316,22254,19406
"Forward",110,8512,2363,0.919,937,25.37,935,6420,3088
"Goalkeeper",69,3576,0,1,11,28.17,1060,3105,1794
"Midfielder",198,14163,1305,3.396,1424,25.41,1683,22067,14032
